id,nom,adresse,arrondissement,lat,lon,distance_tour_m,heures_soleil_avant,heures_soleil_apres,heures_perdues,pct_perte,impact_hiver,impact_ete,impact_midi,mois_le_plus_impacte
191,Café Eugène,49 BOULEVARD VICTOR,75015,48.833633,2.286483,240.0,106,95,11,10.4,8,0,11,1
248,HOTEL MERCURE PARIS PORTE DE VERSAILLES,69 BOULEVARD VICTOR,75017,48.833013,2.288017,234.0,101,97,4,4.0,1,1,0,2
614,L'Atelier Versailles,53 BOULEVARD VICTOR,75015,48.833469,2.286926,233.0,100,90,10,10.0,7,1,10,1
1570,LE DAMIER GOURMAND,405 RUE DE VAUGIRARD,75015,48.832936,2.288967,283.0,10,9,1,10.0,0,1,0,9
1774,Mumbai Lounge,31 BOULEVARD VICTOR,75015,48.834267,2.284793,313.0,111,102,9,8.1,8,0,9,1
1918,Brasserie Dupont Versailles,73 BOULEVARD VICTOR,75116,48.832923,2.288182,236.0,107,102,5,4.7,0,3,0,3
1961,LES AVIATEURS,37 BOULEVARD VICTOR,75015,48.834087,2.285372,286.0,106,96,10,9.4,8,0,10,1
1982,Pizza Villa Eva,367 RUE LECOURBE,75015,48.835404,2.281521,531.0,111,107,4,3.6,4,0,0,11
2071,Le Marigny,113 RUE OLIVIER DE SERRES,75015,48.831075,2.292529,499.0,62,58,4,6.5,0,4,0,5
2522,Rodizio Paris,5 BOULEVARD VICTOR,75015,48.835291,2.281859,507.0,112,110,2,1.8,2,0,0,2
2640,Le Pavé de Versailles,59 BOULEVARD VICTOR,75015,48.83328,2.287301,226.0,102,97,5,4.9,2,1,3,2
2722,Le Marigny,59 BOULEVARD LEFEBVRE,75015,48.831026,2.29254,500.0,98,94,4,4.1,0,4,0,5
2858,L'Exposition,51 BOULEVARD LEFEBVRE,75015,48.831335,2.291862,448.0,92,88,4,4.3,0,4,0,5
3048,Tonton Becton I La table d'hôtes I Porte de Versailles,19 BOULEVARD LEFEBVRE,75015,48.832115,2.290053,322.0,95,88,7,7.4,0,5,0,3
5230,Café Victoria,53 BOULEVARD VICTOR,75015,48.833555,2.286761,237.0,71,62,9,12.7,6,1,9,1
5466,15ème Boulevard,38 BOULEVARD LEFEBVRE,75015,48.830623,2.292548,508.0,51,49,2,3.9,0,2,0,5
5737,Café Eugène,48 RUE DU HAMEAU,75015,48.833654,2.286626,245.0,65,56,9,13.8,7,0,9,1
5753,750g La Table,397BIS RUE DE VAUGIRARD,75015,48.833774,2.290244,413.0,46,44,2,4.3,2,0,0,2
6235,Trattoria Silvano,57 BOULEVARD VICTOR,75015,48.833341,2.287162,227.0,101,93,8,7.9,4,1,7,10
6624,L'Authentique Panini,397TER RUE DE VAUGIRARD,75015,48.833629,2.290104,395.0,43,42,1,2.3,0,0,0,3
6861,Okyama Japanese Restaurant,15 BOULEVARD VICTOR,75015,48.83492,2.283001,428.0,92,89,3,3.3,3,0,1,11
8951,Voie 15,397 bis Rue de Vaugirard 75015,,48.833339,2.290395,395.0,81,79,2,2.5,0,1,0,3
9048,Pizza Pasta Cosy,,,48.830934,2.293029,537.0,67,64,3,4.5,0,3,0,4
11271,Brasserie Dupont Versailles,386 RUE DE VAUGIRARD,75116,48.832871,2.288441,247.0,89,84,5,5.6,0,4,0,3
11413,77 BOULEVARD LEFEBVRE,77 BOULEVARD LEFEBVRE,75015,48.830529,2.294152,625.0,106,105,1,0.9,0,1,0,8
11837,Rodizio Paris,5 BOULEVARD VICTOR,75015,48.835365,2.281687,521.0,107,102,5,4.7,5,0,0,11
12521,EXO PARIS 15,3 BOULEVARD VICTOR,75015,48.835848,2.280028,638.0,96,92,4,4.2,4,0,0,1
12732,79 BOULEVARD LEFEBVRE,79 BOULEVARD LEFEBVRE,75015,48.830428,2.294331,640.0,104,103,1,1.0,0,1,0,8
12994,KOPSTER PORTE DE VERSAILLES,1 BOULEVARD VICTOR,75015,48.836159,2.278862,722.0,101,100,1,1.0,1,0,0,1
13190,Le point de chute,17 BOULEVARD VICTOR,75015,48.83488,2.283181,418.0,87,83,4,4.6,4,0,1,11
13801,Rodizio Paris,5 BOULEVARD VICTOR,75015,48.835355,2.281733,518.0,102,97,5,4.9,5,0,0,11
13919,POINT EXPRESS,7 BOULEVARD VICTOR,75015,48.835231,2.282162,489.0,108,106,2,1.9,2,0,0,2
